,T,M,K,N,train_ppl,train_ppl,val_ppl,val_ppl,test_ppl,test_ppl,td,td,cs,cs,sim,sim,train_ppl2,train_ppl2,val_ppl2,val_ppl2,test_ppl2,test_ppl2
,,,,,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
0,5,100,10,50,800.829354818991,14.290212930264007,907.4499248325994,11.51413361187225,911.2412614973288,8.809576665856003,0.60628,0.027691260259093325,-1976.8896472792276,13.412786352034432,9.5,5.916079783099616,804.87,21.77403330381832,913.675,13.303259394836898,918.015,7.617105058595701
1,5,100,10,100,807.0836247869495,8.257552246719271,888.4597916801295,10.552594155352322,891.0405443340533,10.927722749753052,0.52944,0.021547069650565385,-1761.095462096869,17.148448458636118,9.5,5.916079783099616,786.275,15.094539793546135,881.055,13.297624441586281,883.515,14.911220607314478
2,5,100,20,50,830.9042073562478,19.690456493881186,935.8938699327612,6.8800332549539105,935.1311123489975,8.665987828640773,0.46580000000000005,0.04645468646688774,-1952.3732031217965,14.0837347817446,9.5,5.916079783099616,837.51,26.71646249826225,944.3299999999999,7.841730474972025,944.165,9.39217339345008
3,5,100,20,100,835.3048031656988,12.940906634248394,914.8391046989276,12.513373254939415,914.1238386724614,16.35794951689304,0.41228,0.02042335092872604,-1896.0596655428792,14.41243208905256,9.5,5.916079783099616,817.485,21.292160034796062,907.9649999999999,17.45406829366724,907.335,22.696841305854782
4,5,200,10,50,813.0226087817081,3.962448462192432,888.7986230177994,8.430196011236925,892.3771050765188,7.3233863575329465,0.4688,0.010673331251301082,-2334.0054335156133,10.69322547019247,9.5,5.916079783099616,806.7149999999999,6.444685693205746,888.3700000000001,9.643110439446879,892.29,7.914470424814495
5,5,200,10,100,830.8786780142848,4.879303775354705,872.1542154479205,7.860007429200205,873.2215038214948,7.531142841263592,0.48919999999999997,0.01208949086908479,-1933.0692369168937,10.76113448561779,9.5,5.916079783099616,815.65,8.2197131464867,862.945,10.666744928440952,864.1200000000001,10.045768944396986
6,5,200,20,50,853.3214102160442,10.675981674419388,921.9025089712015,7.462918600706804,921.5685818504095,9.069520949186224,0.40358,0.04302918960304428,-2424.7992907719436,10.067615490045785,9.5,5.916079783099616,857.805,15.016218425072056,927.765,9.630175983526218,927.7450000000001,11.791141858013143
7,5,200,20,100,861.60432431901,7.9817280562170305,906.7975316546095,8.813336243834605,906.887549488978,10.578562586241418,0.37586,0.008752286919188015,-2119.7292900430557,9.209058222253073,9.5,5.916079783099616,852.93,11.058033517002764,902.3399999999999,11.636801875719028,902.1600000000001,13.029092952231723
8,10,100,10,50,652.2281965100653,8.600810115873312,763.6930460370636,15.66287203766372,762.0533219266622,11.031625467426714,0.59968,0.013569997866811272,-1893.0058217139826,9.208500565543487,9.5,5.916079783099616,612.53,12.796837602766526,750.915,19.370902622775542,749.6850000000001,15.020697124476712
9,10,100,10,100,674.1815030860923,7.364722874273827,740.912173125215,14.484268268757729,738.661113272938,9.952734138333724,0.62056,0.01080381998719846,-1728.4008741343266,10.551643848054946,9.5,5.916079783099616,628.165,9.595682965737641,712.47,17.80225000563573,709.975,12.838915965060892
10,10,100,20,50,748.227211063639,6.5147864388151255,858.9547694256551,10.330904457581228,860.3635387939755,13.437345218857518,0.43429,0.0074385836229613955,-1946.9734198349015,7.035850185540347,9.5,5.916079783099616,744.2850000000001,9.100449670786942,869.8799999999999,12.843331261582298,871.195,15.538152535308889
11,10,100,20,100,771.3067950325992,8.034723430911844,839.7540805952033,10.737283198069825,841.6354970327515,12.548095681214825,0.44763000000000003,0.006366119201225376,-1899.756267970734,5.460631962513731,9.5,5.916079783099616,749.225,10.814944582187612,834.135,14.40523570752918,837.36,14.83251761999184
12,10,200,10,50,628.9711391300374,10.299528111582102,701.4812480442363,7.547922656697345,699.6562461051952,11.819104420109197,0.68172,0.018441646233172196,-2168.089737048526,19.33241636143719,9.5,5.916079783099616,558.67,11.067073021497515,664.495,9.016445501065501,661.675,13.564538714099928
13,10,200,10,100,636.435456194295,9.173605954693022,680.1199291809316,9.017398169665329,676.4391499478098,9.841638710135419,0.7168599999999999,0.019837349143790154,-1812.7099600140405,17.01327854107821,9.5,5.916079783099616,554.395,9.275745111225303,621.23,11.203622534463443,617.1600000000001,11.60119776030409
14,10,200,20,50,738.494923608291,7.520321468955841,814.5008604799866,7.734339625641768,818.3260425471034,9.49149635263834,0.47192999999999996,0.008604594855748807,-2350.1303990442166,6.4345040914271845,9.5,5.916079783099616,694.405,9.192243583873498,801.755,9.578181071141778,806.63,12.34589639899572
15,10,200,20,100,743.1687902963052,7.6379884934601625,791.7560005456194,10.360971653871685,796.0834556045659,9.790430317976325,0.5105700000000001,0.013563150542244148,-2084.8695546721005,9.253278360007492,9.5,5.916079783099616,675.605,10.79373478117356,753.12,14.579170433406569,758.47,13.87413724202432
16,20,100,10,50,477.7372818745365,6.899997448054779,566.2522892693705,9.58648139202011,569.530424139772,6.981384752449976,0.6869099999999999,0.01240092950675789,-1720.7630850002201,19.29896915677908,9.5,5.916079783099616,401.15999999999997,7.016476848705557,521.415,11.789213401732102,525.4,9.033213568183871
17,20,100,10,100,493.36014594683604,8.461091802796782,548.4636619039821,10.530070869810828,552.6069264450016,9.484889033974538,0.70261,0.012237212444877023,-1622.7805419533584,10.450988505674895,9.5,5.916079783099616,409.68,7.125240531489371,486.58500000000004,11.156979170480078,491.37,9.158493325869712
